epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7346,1.11441,3.20499,1.03758,0.01282,0.9797,0.16742,0.11229,0.91566,3.23192,0.87027,0.000518622,0.000518622,0.000518622
2,14.3867,1.06608,1.63254,0.97134,0.00977,0.85543,0.1105,0.06632,0.99291,3.30534,0.95547,0.00106365,0.00106365,0.00106365
3,16.0184,1.0842,1.3176,1.0053,0.0122,0.77418,0.06082,0.03591,1.30154,3.49131,1.16873,0.00159768,0.00159768,0.00159768
4,17.6381,1.02628,1.13975,0.97435,0.00962,0.3974,0.05144,0.03611,1.52759,3.51002,1.40763,0.00161749,0.00161749,0.00161749
5,19.264,0.95802,1.03779,0.94533,0.99029,0.0932,0.26756,0.19073,1.10809,2.9028,1.04752,0.00160099,0.00160099,0.00160099
6,20.909,0.90785,0.96121,0.93717,0.95265,0.61713,0.93188,0.70087,0.86534,1.93874,0.91003,0.00158448,0.00158448,0.00158448
7,22.6814,0.91486,0.88525,0.93012,0.93226,0.81322,0.92595,0.73166,0.78213,1.68545,0.88911,0.00156798,0.00156798,0.00156798
8,24.3215,0.87592,0.83552,0.91975,0.89813,0.89852,0.95298,0.75783,0.7859,1.09445,0.87794,0.00155148,0.00155148,0.00155148
9,25.9463,0.93098,0.82898,0.9297,0.89983,0.94918,0.96613,0.76565,0.75374,0.9528,0.87552,0.00153497,0.00153497,0.00153497
10,27.5771,0.85961,0.81297,0.91992,0.93794,0.88438,0.96171,0.76958,0.76178,0.81555,0.88059,0.00151847,0.00151847,0.00151847
11,29.2112,0.84198,0.72914,0.90544,0.92136,0.94709,0.97536,0.78556,0.70278,0.71119,0.86503,0.00150197,0.00150197,0.00150197
12,30.8388,0.85625,0.73296,0.91785,0.89854,0.95407,0.96107,0.78605,0.72598,0.69498,0.86675,0.00148546,0.00148546,0.00148546
13,32.4668,0.82559,0.6956,0.9004,0.91699,0.96853,0.96127,0.77289,0.75675,0.61405,0.88918,0.00146896,0.00146896,0.00146896
14,34.1051,0.79329,0.67059,0.89459,0.90901,0.96679,0.96612,0.78168,0.73867,0.63962,0.87252,0.00145246,0.00145246,0.00145246
15,35.7248,0.80893,0.65959,0.90046,0.9036,0.95154,0.96057,0.77835,0.78524,0.7039,0.8909,0.00143595,0.00143595,0.00143595
16,37.3428,0.81484,0.66398,0.9017,0.92305,0.96857,0.95398,0.77367,0.6787,0.59875,0.86105,0.00141945,0.00141945,0.00141945
17,38.978,0.77943,0.62412,0.89658,0.9266,0.98601,0.96633,0.79264,0.69549,0.58448,0.86241,0.00140295,0.00140295,0.00140295
18,40.6113,0.78616,0.61063,0.88743,0.93369,0.97643,0.98147,0.80419,0.68434,0.56813,0.85383,0.00138644,0.00138644,0.00138644
19,42.2476,0.79189,0.62849,0.89043,0.95079,0.94917,0.98068,0.79266,0.71146,0.56031,0.86267,0.00136994,0.00136994,0.00136994
20,43.8764,0.78711,0.61165,0.89182,0.9659,0.98505,0.98379,0.79748,0.70643,0.55517,0.86948,0.00135344,0.00135344,0.00135344
21,45.5011,0.75328,0.59324,0.87733,0.91984,0.97391,0.97772,0.80702,0.72081,0.58288,0.86659,0.00133693,0.00133693,0.00133693
22,47.1278,0.74714,0.57869,0.88824,0.96874,0.96751,0.98599,0.81274,0.69112,0.5475,0.85977,0.00132043,0.00132043,0.00132043
23,48.7518,0.74075,0.56465,0.89105,0.96653,0.9797,0.9799,0.77988,0.73861,0.5349,0.87008,0.00130393,0.00130393,0.00130393
24,50.3646,0.76077,0.5538,0.87809,0.95065,0.9634,0.97061,0.78186,0.72674,0.55591,0.87445,0.00128742,0.00128742,0.00128742
25,51.9893,0.77943,0.56534,0.88261,0.95429,0.95137,0.97683,0.80257,0.65508,0.53494,0.8468,0.00127092,0.00127092,0.00127092
26,53.6414,0.72938,0.53498,0.87356,0.9091,0.98461,0.96944,0.80345,0.68082,0.53214,0.85146,0.00125442,0.00125442,0.00125442
27,55.2614,0.73664,0.54789,0.88402,0.92838,0.98155,0.97323,0.8086,0.6607,0.47881,0.84893,0.00123791,0.00123791,0.00123791
28,56.8607,0.74602,0.53934,0.87399,0.92632,0.98155,0.95476,0.77234,0.68768,0.5104,0.86091,0.00122141,0.00122141,0.00122141
29,58.4802,0.73462,0.53657,0.87479,0.91934,0.9858,0.94889,0.79299,0.67951,0.4786,0.8556,0.00120491,0.00120491,0.00120491
30,60.1049,0.73458,0.52172,0.87485,0.92972,0.98155,0.97608,0.80155,0.66826,0.48644,0.84891,0.0011884,0.0011884,0.0011884
31,61.7109,0.73595,0.50881,0.87314,0.9504,0.9797,0.9727,0.8081,0.67165,0.48888,0.84988,0.0011719,0.0011719,0.0011719
32,63.3058,0.72699,0.50476,0.87479,0.92715,0.96494,0.98145,0.81648,0.67105,0.48544,0.85209,0.0011554,0.0011554,0.0011554
33,65.0064,0.72334,0.50372,0.86965,0.9674,0.95686,0.98423,0.81677,0.68152,0.48013,0.85681,0.00113889,0.00113889,0.00113889
34,66.6316,0.72833,0.50148,0.87156,0.95896,0.95091,0.97858,0.80703,0.69108,0.47001,0.85777,0.00112239,0.00112239,0.00112239
35,68.2377,0.74561,0.5042,0.87979,0.94139,0.97617,0.96085,0.79829,0.66379,0.48245,0.85297,0.00110589,0.00110589,0.00110589
36,69.8537,0.71121,0.49126,0.86778,0.95056,0.96589,0.96207,0.79272,0.6851,0.47121,0.85116,0.00108938,0.00108938,0.00108938
37,71.4581,0.70423,0.47153,0.86836,0.9419,0.98347,0.97765,0.81273,0.6676,0.47864,0.84772,0.00107288,0.00107288,0.00107288
38,73.0691,0.70037,0.46995,0.86796,0.9591,0.98339,0.97201,0.80922,0.67634,0.48492,0.85317,0.00105638,0.00105638,0.00105638
39,74.6972,0.68382,0.46265,0.8563,0.91842,0.9773,0.96262,0.80148,0.6656,0.48948,0.8515,0.00103987,0.00103987,0.00103987
40,76.3177,0.69888,0.47234,0.87337,0.94084,0.98339,0.9678,0.804,0.67226,0.4665,0.85194,0.00102337,0.00102337,0.00102337
41,77.9716,0.69524,0.46255,0.86112,0.91339,0.98597,0.9505,0.79226,0.70023,0.481,0.85621,0.00100687,0.00100687,0.00100687
42,79.5905,0.68035,0.46784,0.85786,0.94763,0.98474,0.97688,0.81574,0.66222,0.44084,0.84667,0.000990365,0.000990365,0.000990365
43,81.2014,0.68178,0.44251,0.85963,0.96295,0.99086,0.97839,0.81257,0.66248,0.4164,0.84902,0.000973861,0.000973861,0.000973861
44,82.8014,0.68987,0.45307,0.86145,0.97019,0.97582,0.98279,0.82042,0.64818,0.41139,0.84508,0.000957358,0.000957358,0.000957358
45,84.4389,0.68918,0.44511,0.86627,0.96204,0.97836,0.98298,0.82159,0.66459,0.43131,0.84528,0.000940855,0.000940855,0.000940855
46,86.0606,0.67078,0.44409,0.86098,0.97337,0.97786,0.98441,0.81855,0.6477,0.40198,0.84498,0.000924352,0.000924352,0.000924352
47,87.6592,0.6685,0.44007,0.8582,0.93826,0.97601,0.97942,0.81622,0.69393,0.43484,0.85679,0.000907848,0.000907848,0.000907848
48,89.2586,0.68785,0.43733,0.86392,0.92825,0.97786,0.9758,0.80785,0.69939,0.48953,0.86049,0.000891345,0.000891345,0.000891345
49,90.858,0.70326,0.44991,0.86698,0.93551,0.98715,0.96792,0.80802,0.67913,0.42363,0.85603,0.000874842,0.000874842,0.000874842
50,92.4498,0.6719,0.44022,0.85539,0.93971,0.98893,0.97752,0.80668,0.67838,0.40581,0.85315,0.000858338,0.000858338,0.000858338
51,94.0872,0.66787,0.4219,0.86287,0.94372,0.97818,0.97667,0.81325,0.66822,0.40912,0.8507,0.000841835,0.000841835,0.000841835
52,95.6966,0.66005,0.42926,0.8633,0.93364,0.9797,0.97298,0.82031,0.65433,0.41399,0.84497,0.000825332,0.000825332,0.000825332
53,97.3137,0.66553,0.4213,0.85052,0.94423,0.98524,0.9814,0.82144,0.65214,0.40013,0.84553,0.000808828,0.000808828,0.000808828
54,98.9339,0.6457,0.41247,0.84868,0.97285,0.98335,0.98233,0.81581,0.64985,0.38777,0.84808,0.000792325,0.000792325,0.000792325
55,100.54,0.66227,0.41293,0.85358,0.94748,0.98893,0.9773,0.81377,0.6647,0.42168,0.85207,0.000775822,0.000775822,0.000775822
56,102.144,0.66451,0.41766,0.86063,0.94053,0.95993,0.97788,0.81885,0.65125,0.41824,0.8491,0.000759318,0.000759318,0.000759318
57,103.765,0.64777,0.40639,0.84956,0.95135,0.97417,0.98022,0.81676,0.65046,0.41442,0.84495,0.000742815,0.000742815,0.000742815
58,105.449,0.6475,0.40266,0.84232,0.93965,0.98288,0.98362,0.82404,0.64646,0.38485,0.84753,0.000726312,0.000726312,0.000726312
59,107.068,0.64795,0.39937,0.85057,0.96978,0.98349,0.98419,0.82283,0.65241,0.37843,0.84844,0.000709809,0.000709809,0.000709809
60,108.666,0.64118,0.40008,0.85425,0.96382,0.98155,0.98341,0.8244,0.65965,0.37835,0.8505,0.000693305,0.000693305,0.000693305
61,110.277,0.64379,0.40093,0.84857,0.93749,0.98524,0.97445,0.81112,0.66793,0.38878,0.85117,0.000676802,0.000676802,0.000676802
62,111.883,0.61641,0.38912,0.84636,0.96387,0.99032,0.9804,0.82348,0.65035,0.37416,0.84687,0.000660299,0.000660299,0.000660299
63,113.497,0.62722,0.38279,0.84206,0.96052,0.98948,0.98117,0.82051,0.66885,0.39594,0.85092,0.000643795,0.000643795,0.000643795
64,115.109,0.63907,0.38987,0.85803,0.94879,0.99197,0.98229,0.83172,0.63166,0.37846,0.84191,0.000627292,0.000627292,0.000627292
65,116.724,0.6523,0.40114,0.85398,0.96155,0.98524,0.98276,0.83371,0.6338,0.38228,0.84107,0.000610789,0.000610789,0.000610789
66,118.342,0.63116,0.39895,0.84238,0.96372,0.98917,0.98042,0.8226,0.66011,0.38626,0.84664,0.000594286,0.000594286,0.000594286
67,119.963,0.63393,0.39407,0.84819,0.96684,0.98602,0.97954,0.81952,0.65232,0.37755,0.84643,0.000577782,0.000577782,0.000577782
68,121.563,0.60736,0.38574,0.84572,0.96389,0.9861,0.98115,0.83394,0.64343,0.3897,0.8428,0.000561279,0.000561279,0.000561279
69,123.178,0.61193,0.38977,0.84885,0.96535,0.98524,0.97941,0.83273,0.64394,0.38833,0.8432,0.000544776,0.000544776,0.000544776
70,124.789,0.61211,0.37954,0.8402,0.97328,0.9852,0.98124,0.82841,0.65556,0.37093,0.84597,0.000528272,0.000528272,0.000528272
71,126.389,0.61809,0.3855,0.84679,0.93918,0.98339,0.97244,0.81366,0.64998,0.37784,0.84654,0.000511769,0.000511769,0.000511769
72,128,0.61903,0.38044,0.84431,0.93795,0.98472,0.96543,0.80494,0.65244,0.37645,0.84919,0.000495266,0.000495266,0.000495266
73,129.629,0.63745,0.38594,0.8437,0.93184,0.98339,0.97838,0.82546,0.65928,0.37847,0.84909,0.000478762,0.000478762,0.000478762
74,131.247,0.61677,0.37262,0.84555,0.94966,0.97809,0.97789,0.82778,0.64295,0.37224,0.84668,0.000462259,0.000462259,0.000462259
75,132.867,0.61506,0.37669,0.84201,0.95625,0.97884,0.97865,0.82362,0.63454,0.36618,0.8463,0.000445756,0.000445756,0.000445756
